order_id,customer_id,order_date,category,product,quantity,price,payment_method
O0057,C056,2023-01-19,Sports,Bicycle Helmet,3,91.39,Credit Card
O0058,C023,2024-11-06,Electronics,Laptop,1,148.12,Credit Card
O0059,C248,2023-06-20,Fashion,Dress,2,193.05,PayPal
O0060,C217,2023-03-13,Electronics,Smartphone,1,277.25,Credit Card
O0061,C250,2023-03-20,Sports,Yoga Mat,3,148.61,Credit Card
O0062,C140,2024-08-04,Beauty,Hair Dryer,2,259.56,Credit Card
O0063,C158,2023-05-24,Beauty,Hair Dryer,3,280.86,Gift Card
O0064,C147,2024-03-06,Electronics,Smartphone,2,100.88,Credit Card
O0065,C465,2024-01-24,Fashion,Jeans,3,132.5,Bank Transfer
O0066,C422,2023-03-01,Beauty,Skincare Set,1,27.18,Credit Card
O0067,C310,2023-01-04,Sports,Running Shoes,1,221.0,PayPal
O0068,C448,2023-10-26,Electronics,Keyboard,2,108.52,Credit Card
O0069,C029,2023-08-15,Electronics,Keyboard,3,135.15,Bank Transfer
O0070,C319,2024-04-14,Home,Cookware,2,54.05,PayPal
O0071,C089,2024-10-17,Electronics,Smartphone,1,275.23,PayPal
O0072,C162,2024-10-18,Sports,Bicycle Helmet,3,18.15,Gift Card
O0073,C125,2023-06-17,Sports,Dumbbells,2,87.54,Credit Card
O0074,C107,2023-03-21,Fashion,Sneakers,3,24.89,Gift Card
O0075,C027,2024-10-25,Beauty,Shampoo,3,58.73,Gift Card
O0076,C023,2023-12-14,Electronics,Keyboard,1,238.52,Bank Transfer
O0077,C188,2024-09-02,Fashion,Jeans,3,17.96,Credit Card
O0078,C107,2023-12-15,Electronics,Keyboard,2,17.12,Bank Transfer
O0079,C146,2023-03-12,Beauty,Skincare Set,2,114.14,Gift Card
O0080,C297,2023-07-01,Sports,Yoga Mat,3,293.37,Bank Transfer
O0081,C011,2024-12-20,Electronics,Keyboard,2,287.07,Credit Card
O0082,C149,2024-11-30,Electronics,Keyboard,3,209.62,Bank Transfer
O0083,C255,2023-11-03,Fashion,Jeans,2,74.12,Gift Card
O0084,C380,2023-09-25,Electronics,Headphones,2,261.04,Bank Transfer
O0085,C275,2023-11-23,Electronics,Keyboard,2,223.71,PayPal
O0086,C313,2024-04-10,Electronics,Monitor,3,17.49,Bank Transfer
O0087,C098,2023-07-22,Sports,Tennis Racket,2,74.06,Credit Card
O0088,C069,2024-05-08,Sports,Bicycle Helmet,2,201.47,Credit Card
O0089,C413,2024-04-30,Fashion,T-Shirt,3,45.4,Gift Card
O0090,C053,2023-10-28,Sports,Running Shoes,2,217.39,Bank Transfer
O0091,C386,2024-07-12,Electronics,Monitor,2,279.22,PayPal
O0092,C444,2023-11-24,Electronics,Laptop,3,11.47,Credit Card
O0093,C089,2023-12-09,Fashion,Sneakers,3,201.57,Gift Card
O0094,C342,2024-01-07,Beauty,Hair Dryer,2,248.43,PayPal
O0095,C313,2024-01-12,Fashion,Sneakers,3,200.19,Bank Transfer
O0096,C435,2023-05-31,Fashion,T-Shirt,1,100.31,Credit Card
O0097,C120,2024-05-15,Electronics,Headphones,3,264.11,Gift Card
O0098,C122,2023-05-26,Electronics,Laptop,2,264.52,Credit Card
O0099,C284,2024-02-19,Fashion,T-Shirt,1,279.06,Bank Transfer
O0100,C034,2023-09-04,Sports,Bicycle Helmet,1,192.39,Bank Transfer
O0101,C496,2023-01-10,Fashion,Dress,1,99.45,PayPal
O0102,C229,2023-06-19,Sports,Tennis Racket,3,125.4,Gift Card
O0103,C392,2024-10-30,Fashion,Jeans,1,109.49,Bank Transfer
O0104,C318,2023-07-28,Fashion,T-Shirt,1,171.42,Credit Card
O0105,C475,2024-02-12,Electronics,Laptop,2,180.91,Credit Card
O0106,C349,2024-06-09,Fashion,Jacket,2,281.23,PayPal
O0107,C171,2023-12-13,Electronics,Keyboard,2,265.26,Bank Transfer
O0108,C339,2023-05-09,Home,Cookware,3,260.88,Credit Card
O0109,C088,2023-03-07,Fashion,Dress,3,218.95,Bank Transfer
O0110,C376,2023-04-26,Fashion,Dress,3,86.71,Bank Transfer
O0111,C115,2023-01-28,Fashion,T-Shirt,2,182.84,Bank Transfer
O0112,C492,2023-10-17,Sports,Bicycle Helmet,2,252.24,Gift Card
O0113,C155,2024-06-21,Beauty,Hair Dryer,2,160.25,PayPal
O0114,C490,2023-02-20,Home,Lamp,1,293.65,Gift Card
O0115,C332,2023-03-06,Home,Coffee Maker,3,203.68,Credit Card
O0116,C153,2023-07-22,Fashion,Jeans,2,272.96,Credit Card
O0117,C381,2024-08-24,Home,Coffee Maker,3,10.08,Bank Transfer
O0118,C145,2024-09-30,Sports,Bicycle Helmet,1,13.48,Credit Card
O0119,C083,2023-08-28,Home,Coffee Maker,3,250.85,PayPal
O0120,C457,2024-09-03,Electronics,Headphones,1,221.89,Credit Card
O0121,C477,2023-09-07,Fashion,Jacket,2,53.73,Credit Card
O0122,C472,2024-04-14,Beauty,Shampoo,3,132.45,Bank Transfer
O0123,C398,2024-08-21,Home,Vacuum Cleaner,1,135.48,Gift Card
O0124,C399,2024-08-27,Sports,Yoga Mat,1,21.25,PayPal
O0125,C288,2024-01-14,Home,Chair,1,123.31,Gift Card
O0126,C271,2023-10-12,Beauty,Perfume,1,249.6,PayPal
O0127,C443,2024-06-30,Beauty,Perfume,2,95.54,Credit Card
O0128,C208,2024-06-18,Home,Coffee Maker,2,84.81,Bank Transfer
O0129,C130,2023-12-17,Home,Coffee Maker,2,175.53,Bank Transfer
O0130,C384,2024-10-11,Sports,Dumbbells,1,118.41,Credit Card
O0131,C442,2023-03-21,Fashion,Sneakers,3,177.22,Bank Transfer
O0132,C047,2023-05-19,Electronics,Headphones,3,198.96,PayPal
O0133,C168,2024-09-14,Fashion,Jacket,2,184.2,Bank Transfer
O0134,C439,2024-12-05,Sports,Running Shoes,3,274.72,Gift Card
O0135,C081,2023-02-09,Sports,Bicycle Helmet,3,110.59,PayPal
O0136,C074,2024-03-31,Beauty,Skincare Set,1,30.22,Bank Transfer
O0137,C099,2024-06-27,Beauty,Makeup Kit,2,58.68,Credit Card
O0138,C402,2024-04-24,Fashion,T-Shirt,3,82.33,PayPal
O0139,C193,2023-08-03,Home,Cookware,3,245.15,PayPal
O0140,C168,2023-12-31,Sports,Running Shoes,2,128.21,PayPal
O0141,C151,2024-01-27,Home,Vacuum Cleaner,3,178.51,PayPal
O0142,C391,2024-05-07,Home,Cookware,3,131.87,Bank Transfer
O0143,C478,2023-08-23,Sports,Bicycle Helmet,2,204.24,Gift Card
O0144,C325,2023-08-27,Home,Cookware,2,106.43,Bank Transfer
O0145,C217,2023-09-19,Sports,Tennis Racket,3,204.92,Credit Card
O0146,C412,2023-09-07,Beauty,Hair Dryer,2,170.58,Credit Card
O0147,C361,2024-04-25,Beauty,Perfume,2,83.7,Credit Card
O0148,C366,2024-03-04,Home,Coffee Maker,1,257.82,Gift Card
O0149,C172,2024-12-15,Electronics,Laptop,3,216.43,Credit Card
O0150,C092,2024-09-06,Home,Lamp,2,25.81,PayPal
O0151,C059,2023-12-05,Home,Vacuum Cleaner,1,110.82,Gift Card
O0152,C363,2023-09-21,Electronics,Laptop,1,263.94,PayPal
O0153,C059,2024-06-05,Electronics,Smartphone,3,54.88,Credit Card
O0154,C199,2024-12-09,Beauty,Shampoo,2,153.57,PayPal
O0155,C041,2024-03-18,Fashion,T-Shirt,3,121.43,Credit Card
O0156,C131,2024-09-25,Fashion,Dress,3,179.08,Bank Transfer
O0157,C491,2024-10-15,Home,Lamp,2,130.6,Credit Card
O0158,C285,2024-12-27,Home,Lamp,3,195.98,Credit Card
O0159,C229,2023-09-23,Fashion,Sneakers,2,106.38,Credit Card
O0160,C454,2024-10-15,Home,Lamp,2,224.46,PayPal
O0161,C125,2023-10-19,Electronics,Laptop,2,164.32,Gift Card
O0162,C050,2024-11-24,Fashion,Dress,2,211.28,Bank Transfer
O0163,C036,2023-11-05,Sports,Running Shoes,2,157.9,PayPal
O0164,C465,2023-12-28,Fashion,Jeans,1,24.73,Credit Card
O0165,C256,2023-02-03,Sports,Bicycle Helmet,3,253.63,Bank Transfer
O0166,C373,2023-06-28,Sports,Yoga Mat,1,19.44,Credit Card
O0167,C016,2023-03-31,Beauty,Perfume,3,155.3,Bank Transfer
O0168,C412,2023-12-09,Home,Chair,2,139.65,Bank Transfer
O0169,C158,2023-06-25,Beauty,Shampoo,2,115.84,PayPal
O0170,C445,2024-04-04,Home,Lamp,3,284.31,PayPal
O0171,C132,2023-12-05,Beauty,Makeup Kit,3,244.07,PayPal
O0172,C352,2024-10-05,Sports,Bicycle Helmet,1,253.01,PayPal
O0173,C278,2024-01-25,Sports,Dumbbells,1,284.29,Bank Transfer
O0174,C436,2024-08-29,Sports,Bicycle Helmet,2,80.03,PayPal
O0175,C349,2024-02-02,Home,Vacuum Cleaner,1,54.29,Gift Card
O0176,C424,2024-08-22,Home,Lamp,1,210.53,Bank Transfer
O0177,C097,2023-04-24,Fashion,Jacket,3,78.76,PayPal
O0178,C421,2023-01-15,Fashion,T-Shirt,1,140.1,Gift Card
O0179,C401,2024-06-21,Home,Vacuum Cleaner,1,61.89,PayPal
O0180,C433,2024-02-13,Beauty,Makeup Kit,1,275.63,Credit Card
O0181,C012,2024-08-22,Sports,Running Shoes,2,84.09,Gift Card
O0182,C090,2023-02-25,Home,Lamp,2,244.97,Bank Transfer
O0183,C403,2024-04-05,Sports,Tennis Racket,3,62.99,PayPal
O0184,C208,2023-08-30,Sports,Yoga Mat,1,167.2,PayPal
O0185,C098,2024-09-15,Sports,Running Shoes,3,234.72,Gift Card
O0186,C358,2023-02-13,Fashion,Jacket,2,134.06,Bank Transfer
O0187,C089,2024-09-05,Electronics,Headphones,1,227.9,Gift Card
O0188,C099,2024-09-04,Fashion,Jacket,3,110.56,Credit Card
O0189,C434,2024-05-12,Sports,Tennis Racket,1,108.24,Gift Card
O0190,C481,2024-08-11,Beauty,Shampoo,3,97.54,PayPal
O0191,C311,2024-08-16,Home,Lamp,1,63.77,Gift Card
O0192,C361,2023-12-31,Fashion,Jacket,3,204.25,Gift Card
O0193,C385,2024-08-07,Sports,Tennis Racket,2,118.18,Bank Transfer
O0194,C016,2024-08-08,Electronics,Smartphone,2,129.52,PayPal
O0195,C064,2023-02-17,Home,Cookware,1,56.92,PayPal
O0196,C409,2023-09-21,Electronics,Headphones,3,242.75,PayPal
O0197,C465,2024-01-17,Home,Cookware,1,276.92,PayPal
O0198,C163,2023-02-23,Sports,Dumbbells,1,85.36,Credit Card
O0199,C419,2023-10-02,Sports,Bicycle Helmet,3,83.2,PayPal
O0200,C351,2024-02-20,Fashion,T-Shirt,2,134.9,Credit Card
O0201,C087,2023-07-07,Sports,Tennis Racket,3,287.3,PayPal
O0202,C256,2023-09-07,Electronics,Keyboard,1,140.1,Bank Transfer
O0203,C499,2023-11-08,Fashion,Sneakers,3,13.69,Bank Transfer
O0204,C452,2023-03-14,Fashion,Jacket,2,244.42,Bank Transfer
O0205,C190,2023-06-10,Electronics,Laptop,1,146.76,Bank Transfer
O0206,C456,2023-12-14,Beauty,Skincare Set,2,96.27,PayPal
O0207,C352,2023-01-11,Home,Vacuum Cleaner,2,22.09,Gift Card
O0208,C132,2024-10-18,Home,Coffee Maker,1,163.54,Bank Transfer
O0209,C488,2023-08-01,Sports,Dumbbells,3,116.93,Bank Transfer
O0210,C369,2024-11-06,Beauty,Hair Dryer,3,219.79,Gift Card
O0211,C433,2024-01-06,Beauty,Hair Dryer,2,150.55,Gift Card
O0212,C278,2024-11-26,Electronics,Keyboard,1,204.68,Gift Card
O0213,C445,2024-01-09,Home,Coffee Maker,3,12.71,Credit Card
O0214,C183,2023-10-09,Fashion,Jeans,3,159.74,Bank Transfer
O0215,C242,2024-01-08,Sports,Running Shoes,1,242.96,Gift Card
O0216,C365,2024-11-10,Sports,Running Shoes,2,98.81,PayPal
O0217,C485,2024-03-15,Fashion,Dress,3,159.25,PayPal
O0218,C020,2024-12-18,Sports,Bicycle Helmet,2,141.24,Credit Card
O0219,C005,2023-10-30,Beauty,Hair Dryer,3,277.2,PayPal
O0220,C207,2023-07-07,Sports,Dumbbells,1,43.14,Bank Transfer
O0221,C298,2023-05-01,Fashion,T-Shirt,2,79.45,Bank Transfer
O0222,C429,2024-12-17,Home,Coffee Maker,1,83.36,Bank Transfer
O0223,C004,2023-03-17,Sports,Yoga Mat,2,164.0,Gift Card
O0224,C175,2024-05-08,Home,Vacuum Cleaner,2,279.79,Bank Transfer
O0225,C110,2023-01-19,Home,Cookware,3,95.66,Credit Card
O0226,C112,2023-09-14,Beauty,Makeup Kit,1,101.58,Credit Card
O0227,C397,2023-06-19,Sports,Yoga Mat,1,238.4,Credit Card
O0228,C433,2023-04-25,Electronics,Keyboard,1,123.45,Gift Card
O0229,C346,2024-02-22,Home,Chair,3,282.65,Bank Transfer
O0230,C490,2024-06-04,Beauty,Hair Dryer,1,181.31,Gift Card
O0231,C149,2023-07-21,Electronics,Keyboard,1,264.35,PayPal
O0232,C060,2023-09-24,Electronics,Monitor,3,236.14,Credit Card
O0233,C267,2023-05-01,Beauty,Skincare Set,2,36.99,Bank Transfer
O0234,C482,2023-07-09,Home,Coffee Maker,3,185.58,Credit Card
O0235,C141,2024-11-01,Electronics,Headphones,1,253.11,Bank Transfer
O0236,C019,2023-07-05,Beauty,Shampoo,1,42.89,Bank Transfer
O0237,C449,2023-05-17,Electronics,Monitor,1,117.2,Bank Transfer
O0238,C081,2023-02-08,Beauty,Perfume,3,71.69,PayPal
O0239,C327,2024-10-23,Electronics,Keyboard,2,275.49,Bank Transfer
O0240,C052,2024-09-15,Home,Vacuum Cleaner,3,275.1,Bank Transfer
O0241,C298,2023-03-27,Beauty,Hair Dryer,1,213.17,PayPal
O0242,C134,2024-08-02,Beauty,Shampoo,2,216.17,PayPal
O0243,C008,2024-11-12,Sports,Yoga Mat,2,291.05,PayPal
O0244,C177,2024-06-26,Sports,Tennis Racket,3,151.82,Bank Transfer
O0245,C462,2024-05-20,Home,Cookware,1,234.49,Gift Card
O0246,C217,2023-05-04,Home,Coffee Maker,1,277.75,Bank Transfer
O0247,C267,2023-06-19,Beauty,Hair Dryer,1,181.0,Bank Transfer
O0248,C480,2024-01-18,Fashion,Dress,3,268.43,Credit Card
O0249,C456,2024-05-07,Fashion,Sneakers,3,16.18,Gift Card
O0250,C216,2024-06-18,Sports,Yoga Mat,1,190.92,PayPal
O0251,C040,2023-07-12,Beauty,Shampoo,2,178.48,Credit Card
O0252,C155,2024-03-29,Sports,Dumbbells,3,28.92,Gift Card
O0253,C271,2024-03-03,Beauty,Shampoo,3,278.84,Credit Card
O0254,C256,2023-08-17,Sports,Dumbbells,3,82.09,Gift Card
O0255,C333,2023-11-12,Fashion,Jacket,1,287.35,Credit Card
O0256,C235,2024-12-15,Home,Chair,1,100.02,PayPal
O0257,C472,2023-09-30,Fashion,Jacket,1,187.8,Gift Card
O0258,C205,2024-02-27,Fashion,Dress,3,219.78,Credit Card
O0259,C274,2023-03-08,Sports,Running Shoes,3,183.4,PayPal
O0260,C156,2024-08-12,Fashion,Jacket,1,167.69,PayPal
O0261,C369,2023-01-26,Home,Chair,3,175.32,Gift Card
O0262,C266,2023-01-21,Sports,Tennis Racket,1,36.43,Credit Card
O0263,C147,2024-01-17,Fashion,Sneakers,1,248.32,Bank Transfer
O0264,C222,2023-09-24,Electronics,Laptop,3,111.13,Credit Card
O0265,C410,2024-06-14,Electronics,Smartphone,1,15.85,Gift Card
O0266,C047,2024-07-03,Sports,Yoga Mat,1,242.27,Bank Transfer
O0267,C259,2024-07-04,Electronics,Smartphone,3,10.43,Gift Card
O0268,C220,2023-01-18,Electronics,Headphones,1,98.76,Gift Card
O0269,C461,2023-01-20,Electronics,Monitor,3,235.1,Credit Card
O0270,C362,2023-06-05,Sports,Yoga Mat,3,228.53,Gift Card
O0271,C462,2023-08-30,Home,Vacuum Cleaner,1,182.21,Gift Card
O0272,C292,2023-08-29,Sports,Running Shoes,2,28.06,Credit Card
O0273,C108,2024-03-25,Electronics,Smartphone,2,43.73,Gift Card
O0274,C362,2024-03-18,Sports,Bicycle Helmet,1,42.8,PayPal
O0275,C250,2024-11-09,Beauty,Perfume,2,128.29,Gift Card
O0276,C200,2024-06-11,Sports,Dumbbells,1,274.59,PayPal
O0277,C063,2024-10-23,Beauty,Shampoo,3,191.76,Gift Card
O0278,C413,2024-04-04,Fashion,Jeans,3,154.94,Gift Card
O0279,C244,2024-01-01,Sports,Bicycle Helmet,3,176.7,Bank Transfer
O0280,C266,2023-10-19,Fashion,Sneakers,3,190.2,Bank Transfer
O0281,C163,2024-03-16,Sports,Yoga Mat,3,41.55,Bank Transfer
O0282,C396,2023-09-03,Sports,Tennis Racket,1,45.18,Gift Card
O0283,C459,2023-03-04,Electronics,Laptop,1,49.57,Bank Transfer
O0284,C312,2024-04-14,Fashion,Jacket,1,211.56,PayPal
O0285,C255,2024-08-16,Fashion,Jeans,2,32.18,Credit Card
O0286,C453,2024-04-09,Beauty,Makeup Kit,3,38.86,Bank Transfer
O0287,C310,2024-01-17,Sports,Dumbbells,3,128.65,Credit Card
O0288,C153,2024-10-08,Home,Coffee Maker,1,28.2,PayPal
O0289,C423,2023-10-27,Electronics,Smartphone,3,48.64,Gift Card
O0290,C008,2024-08-16,Fashion,T-Shirt,3,252.24,Bank Transfer
O0291,C459,2024-10-25,Sports,Yoga Mat,1,128.08,PayPal
O0292,C328,2023-07-01,Electronics,Headphones,1,101.57,PayPal
O0293,C215,2024-01-11,Beauty,Skincare Set,2,97.48,Bank Transfer
O0294,C017,2024-11-25,Electronics,Monitor,2,259.13,Bank Transfer
O0295,C129,2023-04-05,Sports,Yoga Mat,1,31.16,Gift Card
O0296,C460,2024-02-11,Sports,Bicycle Helmet,2,248.9,PayPal
O0297,C075,2023-04-29,Home,Chair,1,298.49,PayPal
O0298,C207,2023-12-14,Electronics,Headphones,3,140.19,PayPal
O0299,C386,2024-09-29,Electronics,Smartphone,3,273.43,PayPal
O0300,C491,2023-01-15,Electronics,Headphones,2,289.74,Bank Transfer
O0301,C269,2024-10-04,Fashion,Jeans,1,153.32,PayPal
O0302,C253,2023-04-19,Electronics,Keyboard,1,163.42,Bank Transfer
O0303,C413,2024-01-30,Home,Cookware,2,124.6,Bank Transfer
O0304,C348,2024-03-28,Sports,Yoga Mat,3,82.55,Credit Card
O0305,C197,2024-03-21,Fashion,T-Shirt,3,176.13,Gift Card
O0306,C119,2024-07-08,Fashion,Sneakers,3,86.0,Gift Card
O0307,C165,2023-07-04,Home,Vacuum Cleaner,2,181.59,Bank Transfer
O0308,C439,2024-12-23,Fashion,Sneakers,1,182.74,Bank Transfer
O0309,C456,2023-08-03,Home,Coffee Maker,3,183.02,Credit Card
O0310,C450,2023-08-20,Sports,Running Shoes,3,244.48,Gift Card
O0311,C098,2023-06-21,Fashion,T-Shirt,3,164.06,Gift Card
O0312,C168,2023-08-08,Beauty,Hair Dryer,2,25.0,PayPal
O0313,C466,2024-07-14,Home,Chair,3,118.68,Bank Transfer
O0314,C033,2023-01-07,Sports,Dumbbells,2,17.49,PayPal
O0315,C075,2023-09-29,Home,Lamp,2,290.2,Gift Card
O0316,C321,2023-01-18,Beauty,Hair Dryer,3,253.93,Gift Card
O0317,C089,2024-09-01,Sports,Tennis Racket,1,269.63,Bank Transfer
O0318,C255,2024-08-19,Electronics,Monitor,3,222.77,Bank Transfer
O0319,C180,2024-03-26,Fashion,Dress,1,216.06,Bank Transfer
O0320,C091,2023-08-17,Electronics,Laptop,1,17.39,Gift Card
O0321,C250,2024-03-24,Home,Cookware,3,177.02,Gift Card
O0322,C013,2024-09-20,Sports,Tennis Racket,2,13.73,Bank Transfer
O0323,C214,2023-08-13,Fashion,Sneakers,3,108.06,Credit Card
O0324,C115,2024-01-21,Sports,Yoga Mat,2,191.18,Credit Card
O0325,C306,2023-11-07,Fashion,Dress,2,19.22,Bank Transfer
O0326,C156,2024-04-19,Home,Vacuum Cleaner,3,162.86,Gift Card
O0327,C189,2023-10-21,Home,Chair,1,88.01,Bank Transfer
O0328,C118,2023-01-02,Fashion,Dress,1,197.0,PayPal
O0329,C307,2024-04-19,Sports,Yoga Mat,2,274.01,Bank Transfer
O0330,C470,2023-08-25,Electronics,Headphones,1,177.12,Bank Transfer
O0331,C070,2024-08-04,Electronics,Smartphone,1,236.11,Credit Card
O0332,C271,2023-03-15,Beauty,Makeup Kit,2,143.22,Credit Card
O0333,C363,2024-07-09,Electronics,Laptop,1,89.5,PayPal
O0334,C044,2023-03-25,Electronics,Smartphone,2,212.14,PayPal
O0335,C167,2023-07-25,Sports,Yoga Mat,1,117.14,PayPal
O0336,C379,2023-05-17,Home,Lamp,2,65.82,Credit Card
O0337,C473,2023-02-17,Electronics,Laptop,1,220.97,Credit Card
O0338,C289,2023-05-29,Sports,Dumbbells,3,53.29,Credit Card
O0339,C134,2024-12-21,Electronics,Keyboard,3,100.84,Credit Card
O0340,C199,2024-01-12,Home,Lamp,2,125.73,PayPal
O0341,C203,2024-03-10,Sports,Dumbbells,2,34.5,PayPal
O0342,C293,2024-01-17,Beauty,Perfume,2,113.88,Credit Card
O0343,C253,2024-02-02,Sports,Tennis Racket,1,278.8,Gift Card
O0344,C179,2023-06-09,Beauty,Skincare Set,2,89.85,Gift Card
O0345,C310,2023-03-17,Fashion,T-Shirt,2,138.59,Gift Card
O0346,C323,2023-01-17,Sports,Dumbbells,1,249.82,PayPal
O0347,C152,2023-08-10,Electronics,Headphones,1,251.59,Bank Transfer
O0348,C042,2023-07-23,Home,Chair,3,229.8,Credit Card
O0349,C232,2023-04-16,Sports,Running Shoes,3,119.14,Bank Transfer
O0350,C054,2023-09-02,Electronics,Headphones,1,174.9,PayPal
O0351,C074,2023-02-07,Sports,Tennis Racket,2,252.23,PayPal
O0352,C240,2023-08-01,Sports,Dumbbells,1,237.18,Credit Card
O0353,C283,2023-12-17,Sports,Running Shoes,1,97.63,Credit Card
O0354,C104,2023-12-22,Fashion,Jeans,1,55.84,Gift Card
O0355,C104,2024-11-07,Home,Lamp,1,103.93,Gift Card
O0356,C478,2024-07-18,Sports,Dumbbells,3,277.94,PayPal
O0357,C399,2023-10-02,Sports,Bicycle Helmet,3,297.75,PayPal
O0358,C070,2024-07-26,Sports,Running Shoes,1,275.8,Gift Card
O0359,C409,2023-05-26,Electronics,Keyboard,3,88.1,Bank Transfer
O0360,C114,2024-07-26,Fashion,Sneakers,2,56.29,Gift Card
O0361,C057,2024-05-06,Home,Chair,3,163.41,Credit Card
O0362,C091,2024-08-12,Fashion,Dress,2,186.76,Bank Transfer
O0363,C053,2023-06-29,Fashion,Dress,2,116.59,Gift Card
O0364,C133,2023-03-20,Home,Lamp,3,252.61,Bank Transfer
O0365,C353,2023-03-01,Beauty,Perfume,3,266.63,Gift Card
O0366,C277,2024-09-04,Home,Lamp,2,203.56,Credit Card
O0367,C250,2024-12-17,Sports,Tennis Racket,1,80.31,Credit Card
O0368,C464,2024-03-14,Sports,Dumbbells,3,272.09,Credit Card
O0369,C244,2024-10-07,Beauty,Shampoo,1,66.87,Bank Transfer
O0370,C037,2023-03-02,Beauty,Hair Dryer,1,44.84,Credit Card
O0371,C174,2024-10-03,Electronics,Laptop,3,21.86,PayPal
O0372,C350,2023-09-08,Beauty,Perfume,2,72.39,PayPal
O0373,C315,2024-12-27,Home,Vacuum Cleaner,1,146.34,Bank Transfer
O0374,C474,2023-12-19,Electronics,Headphones,1,127.15,Bank Transfer
