OrderDate,Region,Platform,Genre,GameTitle,UnitsSold,Price,Revenue,Cost,Profit
06/01/2024,Asia,PC,Action,Lost Odyssey,160,51.59,8254.4,30.55,3366.4
06/01/2024,North America,Xbox,Racing,GoalMaster 24,488,52.76,25746.88,36.13,8115.44
06/01/2024,South America,PC,Adventure,Galaxy Wars,427,34.34,14663.18,30.35,1703.73
06/01/2024,North America,PS5,Adventure,City Architect,393,40.28,15830.04,43.87,-1410.87
06/01/2024,North America,Xbox,Adventure,FarmLife Sim,309,53.75,16608.75,27.24,8191.59
07/01/2024,Asia,PS5,Racing,City Architect,478,55.18,26376.04,25.74,14072.32
07/01/2024,South America,PC,Shooter,Fishing Frenzy,397,36.51,14494.47,37.33,-325.54
07/01/2024,South America,PS5,Racing,Brain Blox,631,78.86,49760.66,29.62,31070.44
07/01/2024,North America,Switch,Shooter,Football Hero,982,40.46,39731.72,25.32,14867.48
07/01/2024,Europe,Switch,Shooter,Mystic Legends,228,65.15,14854.2,44.9,4617
07/01/2024,North America,PC,Adventure,Fishing Frenzy,936,35.69,33405.84,25.69,9360
08/01/2024,Asia,PC,Action,Galaxy Wars,919,61.86,56849.34,21.44,37145.98
08/01/2024,Europe,PS5,Adventure,Fishing Frenzy,451,71.81,32386.31,30.83,18481.98
08/01/2024,Europe,Switch,Action,Football Hero,327,78.5,25669.5,29.47,16032.81
08/01/2024,Europe,Xbox,Puzzle,Dragon Realms,204,30.52,6226.08,18.32,2488.8
08/01/2024,Europe,Xbox,Puzzle,StarBattle V,341,63.23,21561.43,28.79,11744.04
08/01/2024,Asia,PS5,RPG,Shadow Strike,987,64.12,63286.44,29.2,34466.04
08/01/2024,Europe,PS5,Action,Mech Arena,877,66.16,58022.32,35.08,27257.16
08/01/2024,Asia,PC,Adventure,FarmLife Sim,543,72.18,39193.74,24.3,25998.84
08/01/2024,North America,PC,Action,Football Hero,547,50.88,27831.36,39.62,6159.22
08/01/2024,Asia,Xbox,Racing,Brain Blox,138,50.25,6934.5,16.61,4642.32
08/01/2024,Europe,Xbox,Adventure,Turbo Racer,985,63.16,62212.6,33.68,29037.8
08/01/2024,South America,Switch,Sports,Football Hero,471,34.12,16070.52,20.92,6217.2
08/01/2024,South America,PS5,Shooter,Football Hero,396,62.77,24856.92,33.4,11630.52
09/01/2024,Europe,Xbox,Adventure,Lost Odyssey,407,75.65,30789.55,30.83,18241.74
09/01/2024,North America,PC,Shooter,Fishing Frenzy,607,46.09,27976.63,36.81,5632.96
09/01/2024,North America,PS5,Action,Mech Arena,758,79.36,60154.88,24.1,41887.08
09/01/2024,North America,PC,Racing,Final Combat,754,68.78,51860.12,40.97,20968.74
09/01/2024,South America,PS5,Simulation,City Architect,404,42.6,17210.4,36.42,2496.72
09/01/2024,Europe,PS5,Shooter,Football Hero,172,79.22,13625.84,24.14,9473.76
09/01/2024,Europe,PS5,Action,FarmLife Sim,59,73.33,4326.47,34.96,2263.83
10/01/2024,Europe,Xbox,Racing,FarmLife Sim,608,55.25,33592,27.33,16975.36
10/01/2024,Europe,Xbox,Sports,Mech Arena,196,65.89,12914.44,29.75,7083.44
10/01/2024,Europe,Switch,Action,Fishing Frenzy,396,37.46,14834.16,35.06,950.4
10/01/2024,North America,Switch,Puzzle,GoalMaster 24,986,51.89,51163.54,17.11,34293.08
10/01/2024,North America,Xbox,RPG,Turbo Racer,261,48.61,12687.21,30.01,4854.6
10/01/2024,South America,Xbox,Racing,City Architect,84,57.14,4799.76,35.72,1799.28
10/01/2024,North America,Switch,RPG,Final Combat,496,77.24,38311.04,19.09,28842.4
11/01/2024,North America,PC,Shooter,Shadow Strike,914,32.01,29257.14,28.26,3427.5
11/01/2024,Asia,Switch,Racing,Turbo Racer,124,72.01,8929.24,33.79,4739.28
11/01/2024,North America,PC,RPG,Brain Blox,146,41.91,6118.86,30.01,1737.4
11/01/2024,Asia,PS5,Simulation,Dragon Realms,302,30.97,9352.94,19.03,3605.88
11/01/2024,Asia,PS5,Action,StarBattle V,439,47.79,20979.81,18.58,12823.19
11/01/2024,South America,PC,Adventure,City Architect,904,45.98,41565.92,34.57,10314.64
11/01/2024,Asia,Switch,Puzzle,Football Hero,635,70.15,44545.25,43.62,16846.55
11/01/2024,North America,Switch,Puzzle,Dragon Realms,595,74.05,44059.75,15.02,35122.85
12/01/2024,Europe,Xbox,Puzzle,FarmLife Sim,268,59.53,15954.04,25.03,9246
12/01/2024,Europe,Switch,Adventure,Football Hero,418,63.83,26680.94,27.81,15056.36
12/01/2024,Europe,Switch,Racing,Lost Odyssey,425,78.49,33358.25,41.09,15895
12/01/2024,Europe,PC,Shooter,Final Combat,488,37.2,18153.6,21.84,7495.68
12/01/2024,North America,Switch,Simulation,Brain Blox,180,38.3,6894,17.26,3787.2
12/01/2024,Asia,PC,Adventure,Mech Arena,598,45.51,27214.98,28.33,10273.64
12/01/2024,Europe,PC,Racing,Mystic Legends,839,78.74,66062.86,21.31,48183.77
12/01/2024,North America,Switch,Sports,Lost Odyssey,248,30.36,7529.28,24.1,1552.48
12/01/2024,North America,PS5,Adventure,Dragon Realms,868,31.87,27663.16,21.01,9426.48
12/01/2024,North America,PC,Racing,Galaxy Wars,770,42.36,32617.2,32.05,7938.7
12/01/2024,South America,Xbox,Shooter,Final Combat,729,47.75,34809.75,40.07,5598.72
12/01/2024,South America,Switch,RPG,Fishing Frenzy,721,55.29,39864.09,18.79,26316.5
13/01/2024,Asia,Xbox,Racing,City Architect,131,45.72,5989.32,38.88,896.04
13/01/2024,South America,Xbox,Simulation,GoalMaster 24,591,31.08,18368.28,24.51,3882.87
13/01/2024,South America,PS5,Puzzle,Shadow Strike,568,68.89,39129.52,44.12,14069.36
13/01/2024,Europe,Switch,Simulation,Galaxy Wars,265,32.82,8697.3,44.68,-3142.9
13/01/2024,Europe,PC,RPG,Mech Arena,499,34.56,17245.44,18.63,7949.07
13/01/2024,Asia,Switch,Action,Shadow Strike,186,72.91,13561.26,25.87,8749.44
13/01/2024,North America,PC,Sports,Brain Blox,676,30.59,20678.84,27.61,2014.48
14/01/2024,North America,Switch,Action,Dragon Realms,650,59.86,38909,38.41,13942.5
14/01/2024,South America,Switch,Shooter,Mystic Legends,51,62.53,3189.03,21.26,2104.77
14/01/2024,North America,Xbox,Action,FarmLife Sim,938,60.02,56298.76,16.62,40709.2
14/01/2024,South America,PS5,Shooter,Fishing Frenzy,336,65.35,21957.6,44.07,7150.08
14/01/2024,South America,PS5,Sports,City Architect,781,55.13,43056.53,19.82,27577.11
14/01/2024,Europe,PC,Simulation,StarBattle V,542,79.96,43338.32,43.45,19788.42
14/01/2024,North America,Switch,Adventure,GoalMaster 24,464,78.27,36317.28,25.19,24629.12
14/01/2024,Asia,Xbox,Action,Dragon Realms,825,54.18,44698.5,26.2,23083.5
14/01/2024,Europe,PS5,Shooter,Turbo Racer,166,59.1,9810.6,44.19,2475.06
14/01/2024,North America,PS5,Adventure,Final Combat,664,53.44,35484.16,33.56,13200.32
15/01/2024,North America,PC,Sports,Mech Arena,712,75.95,54076.4,32.72,30779.76
15/01/2024,South America,PS5,Puzzle,Mech Arena,544,61.73,33581.12,27.17,18800.64
15/01/2024,South America,Xbox,Adventure,Lost Odyssey,390,67.5,26325,39.05,11095.5
15/01/2024,Europe,PS5,Puzzle,City Architect,690,72.72,50176.8,29.23,30008.1
15/01/2024,South America,Xbox,Simulation,Football Hero,806,70.88,57129.28,44.86,20972.12
15/01/2024,South America,PC,Puzzle,Shadow Strike,103,56.76,5846.28,40.37,1688.17
15/01/2024,North America,PS5,Sports,Mech Arena,237,51.8,12276.6,37.83,3310.89
15/01/2024,South America,PC,Puzzle,Mystic Legends,241,34.41,8292.81,42.41,-1928
15/01/2024,North America,Xbox,Action,Final Combat,732,79.93,58508.76,43.97,26322.72
15/01/2024,Asia,PS5,Racing,GoalMaster 24,938,58.33,54713.54,27.63,28796.6
16/01/2024,South America,Xbox,RPG,Dragon Realms,606,74.77,45310.62,16.57,35269.2
16/01/2024,North America,PS5,Action,Final Combat,731,63.1,46126.1,22.1,29971
16/01/2024,Asia,PS5,RPG,City Architect,926,72.84,67449.84,41.55,28974.54
16/01/2024,South America,Xbox,Puzzle,Mech Arena,425,75.76,32198,18.64,24276
16/01/2024,South America,Xbox,Action,Mystic Legends,764,63.67,48643.88,20.9,32676.28
16/01/2024,Europe,PS5,Racing,Mech Arena,492,69.08,33987.36,25.21,21584.04
17/01/2024,South America,PC,Simulation,Turbo Racer,516,50.8,26212.8,15.94,17987.76
17/01/2024,North America,Switch,Action,Fishing Frenzy,602,34.2,20588.4,31.3,1745.8
17/01/2024,Asia,PS5,Simulation,Football Hero,404,65.85,26603.4,29.31,14762.16
17/01/2024,Asia,Xbox,Action,Final Combat,117,33.04,3865.68,16.82,1897.74
17/01/2024,Europe,Xbox,Puzzle,FarmLife Sim,146,40.76,5950.96,20.89,2901.02
17/01/2024,Europe,Xbox,Racing,Shadow Strike,81,67.23,5445.63,28.67,3123.36
17/01/2024,Asia,Switch,Puzzle,Galaxy Wars,401,74.48,29866.48,16.34,23314.14
17/01/2024,South America,Switch,Simulation,Lost Odyssey,192,35.22,6762.24,43.38,-1566.72
17/01/2024,North America,Switch,RPG,Final Combat,152,76.66,11652.32,30.48,7019.36
17/01/2024,Europe,PC,RPG,Fishing Frenzy,798,79.4,63361.2,25.65,42892.5
17/01/2024,North America,PS5,Racing,Lost Odyssey,475,66.12,31407,20.3,21764.5
18/01/2024,Asia,PS5,RPG,City Architect,896,51.35,46009.6,37.99,11970.56
18/01/2024,Asia,Xbox,Puzzle,Shadow Strike,122,77.02,9396.44,29.77,5764.5
18/01/2024,Europe,Xbox,Simulation,Mech Arena,983,38.4,37747.2,35.67,2683.59
18/01/2024,South America,PC,Sports,Shadow Strike,636,43.58,27716.88,23.24,12936.24
18/01/2024,South America,PC,Adventure,Mech Arena,157,78.58,12337.06,38.79,6247.03
19/01/2024,North America,Xbox,Sports,Galaxy Wars,765,65.85,50375.25,27.4,29414.25
19/01/2024,North America,PC,Sports,Lost Odyssey,841,45.19,38004.79,16.16,24414.23
19/01/2024,South America,Xbox,Adventure,Mech Arena,920,47.93,44095.6,44.61,3054.4
19/01/2024,Europe,PS5,Puzzle,Fishing Frenzy,532,71.4,37984.8,19.52,27600.16
19/01/2024,South America,PS5,RPG,Brain Blox,460,69.15,31809,19.94,22636.6
19/01/2024,Asia,PS5,Racing,Dragon Realms,616,79.76,49132.16,42.94,22681.12
19/01/2024,Asia,PC,Adventure,Fishing Frenzy,392,36.77,14413.84,29.61,2806.72
20/01/2024,South America,Xbox,RPG,Mystic Legends,512,65.06,33310.72,29.53,18191.36
20/01/2024,South America,PS5,RPG,Shadow Strike,271,79.77,21617.67,31.83,12991.74
20/01/2024,Asia,Xbox,Action,Galaxy Wars,679,31.35,21286.65,30.8,373.45
20/01/2024,Europe,Xbox,Racing,Football Hero,938,37.56,35231.28,44.57,-6575.38
21/01/2024,South America,Xbox,Sports,Lost Odyssey,760,72.24,54902.4,31.55,30924.4
21/01/2024,North America,Switch,Simulation,Lost Odyssey,817,78.35,64011.95,31.14,38570.57
21/01/2024,Asia,Switch,Racing,FarmLife Sim,684,50.53,34562.52,25.34,17229.96
21/01/2024,South America,PS5,Adventure,GoalMaster 24,604,50.55,30532.2,15.21,21345.36
21/01/2024,Europe,Xbox,Shooter,Football Hero,172,78.07,13428.04,41.45,6298.64
21/01/2024,North America,PC,Adventure,Final Combat,979,46.3,45327.7,36.27,9819.37
21/01/2024,South America,PC,Shooter,Brain Blox,322,30.82,9924.04,29.68,367.08
21/01/2024,North America,PS5,Shooter,Football Hero,316,64.32,20325.12,39.37,7884.2
22/01/2024,Europe,PC,Action,Football Hero,576,50.08,28846.08,27.91,12769.92
22/01/2024,Asia,Xbox,Sports,Mystic Legends,300,69.69,20907,28.04,12495
22/01/2024,Asia,Xbox,Adventure,Mech Arena,958,75.5,72329,24.62,48743.04
22/01/2024,South America,PC,Sports,City Architect,506,49.99,25294.94,32.88,8657.66
22/01/2024,South America,PS5,Sports,FarmLife Sim,534,57.2,30544.8,37.08,10744.08
23/01/2024,Europe,Switch,Simulation,Mech Arena,915,69.56,63647.4,39.54,27468.3
23/01/2024,Asia,PC,Racing,Fishing Frenzy,281,72.23,20296.63,34.81,10515.02
23/01/2024,South America,PC,Racing,Mystic Legends,497,65.67,32637.99,38.67,13419
23/01/2024,Asia,Xbox,Simulation,Mech Arena,398,59.15,23541.7,26.51,12990.72
23/01/2024,North America,PS5,Action,Fishing Frenzy,461,78.86,36354.46,23.26,25631.6
23/01/2024,Europe,Switch,Sports,FarmLife Sim,478,78.13,37346.14,24.43,25668.6
24/01/2024,Asia,PS5,Adventure,GoalMaster 24,863,49.5,42718.5,31.27,15732.49
24/01/2024,Europe,PC,Adventure,Fishing Frenzy,353,34.15,12054.95,17.59,5845.68
24/01/2024,South America,PC,Racing,StarBattle V,304,36.44,11077.76,41.1,-1416.64
24/01/2024,Asia,Xbox,RPG,Fishing Frenzy,636,72.37,46027.32,42.45,19029.12
24/01/2024,Asia,Switch,Simulation,Mech Arena,615,48.84,30036.6,25.14,14575.5
24/01/2024,Europe,Xbox,Puzzle,Football Hero,185,78.32,14489.2,21.93,10432.15
25/01/2024,Europe,PS5,Shooter,Galaxy Wars,410,36.01,14764.1,16.18,8130.3
25/01/2024,Europe,Xbox,Racing,Mystic Legends,317,55.62,17631.54,42.17,4263.65
25/01/2024,Europe,PS5,Racing,GoalMaster 24,144,52.77,7598.88,28.02,3564
25/01/2024,South America,PC,RPG,Mech Arena,880,58.96,51884.8,35.01,21076
25/01/2024,Asia,Switch,Action,Dragon Realms,174,75.98,13220.52,33.11,7459.38
25/01/2024,Asia,Xbox,Action,Final Combat,193,44.06,8503.58,25.88,3508.74
25/01/2024,Asia,PC,Simulation,Dragon Realms,811,39.79,32269.69,25.09,11921.7
25/01/2024,Europe,Switch,Shooter,GoalMaster 24,789,55.47,43765.83,26.43,22912.56
25/01/2024,South America,PS5,Sports,City Architect,341,59.8,20391.8,18.55,14066.25
25/01/2024,North America,Switch,RPG,GoalMaster 24,489,58.18,28450.02,41.84,7990.26
26/01/2024,Europe,PS5,Sports,Mystic Legends,150,42,6300,15.28,4008
26/01/2024,South America,Switch,Sports,GoalMaster 24,228,71.14,16219.92,37.75,7612.92
26/01/2024,Asia,PS5,Racing,Mech Arena,181,73.73,13345.13,32.56,7451.77
26/01/2024,South America,Xbox,Sports,Galaxy Wars,883,32.44,28644.52,18.79,12052.95
26/01/2024,North America,Switch,Action,StarBattle V,621,43.39,26945.19,29.55,8594.64
26/01/2024,Europe,Xbox,Shooter,Lost Odyssey,596,37.13,22129.48,31.47,3373.36
26/01/2024,North America,Xbox,Sports,StarBattle V,150,34.82,5223,40.52,-855
26/01/2024,Asia,Xbox,RPG,Fishing Frenzy,215,71.49,15370.35,33.13,8247.4
26/01/2024,South America,Xbox,Adventure,FarmLife Sim,493,78.41,38656.13,27.63,25034.54
26/01/2024,South America,PC,RPG,Mech Arena,740,59.76,44222.4,22.02,27927.6
27/01/2024,Europe,PS5,Adventure,Football Hero,125,31.71,3963.75,29.8,238.75
27/01/2024,North America,PS5,Action,GoalMaster 24,855,31.81,27197.55,28.62,2727.45
27/01/2024,Europe,PS5,Puzzle,City Architect,984,65.99,64934.16,34.21,31271.52
27/01/2024,South America,Switch,Action,Lost Odyssey,702,39.28,27574.56,32.57,4710.42
27/01/2024,North America,PC,Simulation,Mech Arena,843,45.14,38053.02,18.09,22803.15
27/01/2024,Asia,PS5,Action,Dragon Realms,805,65.04,52357.2,43,17742.2
27/01/2024,Europe,PS5,Racing,Lost Odyssey,934,47.47,44336.98,22.94,22911.02
27/01/2024,Asia,Switch,Sports,Shadow Strike,995,50.96,50705.2,21.71,29103.75
28/01/2024,Asia,PS5,RPG,Mech Arena,161,56.61,9114.21,42.05,2344.16
28/01/2024,South America,PC,RPG,Fishing Frenzy,586,41.25,24172.5,27.88,7834.82
28/01/2024,Asia,Xbox,Adventure,Dragon Realms,582,63.53,36974.46,42.55,12210.36
28/01/2024,South America,Xbox,Action,Final Combat,593,64.58,38295.94,43.31,12613.11
28/01/2024,Asia,Switch,Sports,Dragon Realms,775,79.06,61271.5,23.93,42725.75
28/01/2024,Asia,PC,Action,Dragon Realms,126,34.26,4316.76,41.44,-904.68
28/01/2024,South America,Xbox,Sports,Football Hero,801,51.45,41211.45,32.07,15523.38
28/01/2024,Asia,Switch,Simulation,Shadow Strike,600,33.73,20238,41.45,-4632
28/01/2024,North America,PS5,Simulation,Turbo Racer,179,40.56,7260.24,40.27,51.91
29/01/2024,Asia,Switch,Racing,Final Combat,579,46.65,27010.35,34.91,6797.46
29/01/2024,Asia,Xbox,Shooter,FarmLife Sim,103,32.55,3352.65,40.22,-790.01
29/01/2024,North America,Xbox,Sports,Final Combat,199,60.33,12005.67,32.98,5442.65
29/01/2024,South America,Xbox,RPG,StarBattle V,909,51.74,47031.66,26.5,22943.16
29/01/2024,Europe,PC,Sports,Shadow Strike,387,51.23,19826.01,22.34,11180.43
29/01/2024,Europe,Switch,Racing,Shadow Strike,120,57.23,6867.6,26.92,3637.2
29/01/2024,Asia,Switch,Action,FarmLife Sim,128,49.46,6330.88,21.58,3568.64
29/01/2024,Europe,PC,Racing,Mech Arena,907,46.81,42456.67,31.8,13614.07
29/01/2024,Asia,PC,RPG,Shadow Strike,671,60.36,40501.56,24.62,23981.54
29/01/2024,Europe,Switch,Shooter,Final Combat,484,61.86,29940.24,16.69,21862.28
29/01/2024,Europe,Xbox,Action,Shadow Strike,436,43.03,18761.08,24.65,8013.68
29/01/2024,South America,Switch,Action,StarBattle V,186,45.07,8383.02,33.35,2179.92
30/01/2024,Asia,PC,Adventure,Mech Arena,107,57.31,6132.17,24.74,3484.99
30/01/2024,Asia,Switch,Action,Turbo Racer,565,38.43,21712.95,28.69,5503.1
30/01/2024,Asia,PS5,Adventure,Mech Arena,247,48.07,11873.29,24.98,5703.23
30/01/2024,Europe,PC,Adventure,Final Combat,488,39.74,19393.12,35.07,2278.96
30/01/2024,Europe,Switch,Puzzle,GoalMaster 24,530,45.63,24183.9,33.05,6667.4
30/01/2024,North America,PS5,Sports,Shadow Strike,860,55.22,47489.2,19.83,30435.4
30/01/2024,South America,Xbox,Action,Football Hero,834,46.92,39131.28,31.72,12676.8
30/01/2024,Asia,Xbox,Puzzle,Mystic Legends,323,42.61,13763.03,18.38,7826.29
31/01/2024,South America,PS5,Sports,Mech Arena,183,37.18,6803.94,44.55,-1348.71
31/01/2024,Asia,Switch,Racing,Mech Arena,597,47.49,28351.53,30.12,10369.89
31/01/2024,South America,PC,Simulation,Fishing Frenzy,471,54.51,25674.21,30.24,11431.17
01/02/2024,Asia,Xbox,Action,FarmLife Sim,531,37.27,19790.37,40.14,-1523.97
01/02/2024,North America,Xbox,RPG,Football Hero,659,37.1,24448.9,25.27,7795.97
01/02/2024,South America,PC,Sports,Final Combat,561,52.9,29676.9,21.94,17368.56
01/02/2024,North America,Switch,Racing,Lost Odyssey,508,42.44,21559.52,38.34,2082.8
01/02/2024,Asia,PS5,Adventure,Mech Arena,640,74.87,47916.8,26.51,30950.4
01/02/2024,South America,PC,Racing,StarBattle V,74,44.3,3278.2,41.6,199.8
01/02/2024,South America,Xbox,Puzzle,Mech Arena,210,74.69,15684.9,24.49,10542
01/02/2024,North America,PC,Shooter,Mech Arena,302,68.99,20834.98,19.94,14813.1
01/02/2024,South America,Xbox,Action,Dragon Realms,893,50.51,45105.43,24.8,22959.03
02/02/2024,Asia,Switch,Shooter,Shadow Strike,562,44.99,25284.38,38.17,3832.84
02/02/2024,South America,PS5,Action,Brain Blox,952,48.36,46038.72,40.64,7349.44
02/02/2024,South America,Xbox,Sports,Galaxy Wars,599,55.15,33034.85,17.18,22744.03
02/02/2024,South America,Xbox,Sports,Dragon Realms,64,45.77,2929.28,42.33,220.16
02/02/2024,Asia,PS5,Sports,Shadow Strike,901,32.63,29399.63,40.06,-6694.43
02/02/2024,South America,Switch,RPG,Shadow Strike,131,71.12,9316.72,39.22,4178.9
02/02/2024,Europe,Xbox,Adventure,Mystic Legends,549,50.86,27922.14,43.32,4139.46
02/02/2024,North America,Xbox,Shooter,City Architect,343,58.45,20048.35,42.02,5635.49
02/02/2024,North America,Xbox,RPG,Galaxy Wars,380,39.32,14941.6,35.14,1588.4
02/02/2024,North America,Switch,Puzzle,Shadow Strike,724,60.85,44055.4,35.08,18657.48
02/02/2024,Europe,PC,Racing,StarBattle V,998,77.37,77215.26,17.96,59291.18
03/02/2024,South America,PS5,Action,Mech Arena,869,37.06,32205.14,24.07,11288.31
03/02/2024,North America,Xbox,Adventure,Football Hero,569,52.89,30094.41,15.11,21496.82
03/02/2024,South America,PC,Shooter,Brain Blox,94,71.8,6749.2,41.75,2824.7
03/02/2024,Asia,PS5,RPG,City Architect,577,62.01,35779.77,26.35,20575.82
03/02/2024,Asia,PS5,Action,Lost Odyssey,122,77.03,9397.66,35.1,5115.46
03/02/2024,Asia,Switch,Action,Football Hero,994,38.69,38457.86,17.04,21520.1
03/02/2024,North America,PS5,Simulation,Galaxy Wars,711,79.5,56524.5,24.1,39389.4
03/02/2024,Asia,Switch,Shooter,Fishing Frenzy,150,74.42,11163,44.76,4449
04/02/2024,Europe,PS5,Simulation,GoalMaster 24,150,35.08,5262,42.22,-1071
04/02/2024,Europe,Xbox,Puzzle,Mystic Legends,300,57.52,17256,20.85,11001
04/02/2024,South America,PS5,Shooter,FarmLife Sim,462,55.09,25451.58,32.11,10616.76
04/02/2024,Europe,PS5,Sports,GoalMaster 24,175,47.96,8393,36.83,1947.75
04/02/2024,North America,PS5,Sports,Shadow Strike,941,30.34,28549.94,22.68,7208.06
04/02/2024,Asia,PC,Action,City Architect,52,79.39,4128.28,21.31,3020.16
04/02/2024,North America,Xbox,RPG,Fishing Frenzy,514,40.54,20837.56,24.52,8234.28
04/02/2024,South America,Xbox,Sports,Mystic Legends,674,68.78,46357.72,40.2,19262.92
04/02/2024,North America,Xbox,RPG,Mech Arena,936,70.12,65632.32,38.04,30026.88
04/02/2024,North America,Switch,Simulation,Galaxy Wars,122,61.16,7461.52,29.84,3821.04
05/02/2024,Europe,Switch,Sports,Dragon Realms,278,60.28,16757.84,24.39,9977.42
05/02/2024,South America,PS5,Simulation,Football Hero,801,76.02,60892.02,26.59,39593.43
05/02/2024,South America,PC,Action,Football Hero,490,70,34300,30.94,19139.4
05/02/2024,South America,PS5,Puzzle,Dragon Realms,666,56.29,37489.14,22.71,22364.28
05/02/2024,Europe,PC,Shooter,Shadow Strike,175,30.99,5423.25,20.91,1764
05/02/2024,Europe,Switch,Sports,Shadow Strike,246,41.74,10268.04,33.18,2105.76
05/02/2024,Europe,PS5,Puzzle,Final Combat,179,43.12,7718.48,33.38,1743.46
05/02/2024,North America,Switch,Sports,Shadow Strike,110,50.1,5511,31.12,2087.8
05/02/2024,North America,Switch,Adventure,Football Hero,660,35.33,23317.8,38.52,-2105.4
05/02/2024,Asia,Switch,Sports,Final Combat,974,78.32,76283.68,15.73,60962.66
06/02/2024,North America,Xbox,Action,Fishing Frenzy,867,67.12,58193.04,26.82,34940.1
06/02/2024,North America,PC,Simulation,Shadow Strike,584,65.35,38164.4,42.92,13099.12
